Role,Tables,Privileges,Level,Notes
Power Notify Administrator,pnfy_NotificationDefinition;pnfy_ChannelBinding;pnfy_NotificationTemplate;pnfy_RecipientRule;pnfy_TeamsDestination;pnfy_NotificationToken;pnfy_CallingApplication;pnfy_SuppressionEntry,Create;Read;Write;Delete;Append;AppendTo,Global,"Full control of configuration."
Power Notify Administrator,pnfy_NotificationRequest;pnfy_DeliveryAttempt;pnfy_PayloadSnapshot,Create;Read;Write;Delete;Append;AppendTo;Assign;Share,Global,"The only role with Delete on logs. Purge runs under this role."
Power Notify Configuration Manager,pnfy_NotificationDefinition;pnfy_ChannelBinding;pnfy_RecipientRule;pnfy_TeamsDestination;pnfy_NotificationToken;pnfy_CallingApplication,Create;Read;Write;Append;AppendTo,Global,"Owns routing and delivery configuration."
Power Notify Configuration Manager,pnfy_NotificationTemplate,Read;AppendTo,Global,"Can bind a template to a channel but not author its content."
Power Notify Configuration Manager,pnfy_NotificationRequest;pnfy_DeliveryAttempt,Read,Global,"Visibility into delivery outcomes."
Power Notify Template Author,pnfy_NotificationTemplate,Create;Read;Write;Append;AppendTo,Global,"Owns message content."
Power Notify Template Author,pnfy_NotificationDefinition;pnfy_ChannelBinding;pnfy_NotificationToken,Read,Global,"Needs to see which tokens and channels a template serves. Deliberately no access to recipient rules or Teams destinations."
Power Notify Support Analyst,pnfy_NotificationDefinition;pnfy_ChannelBinding;pnfy_NotificationTemplate;pnfy_RecipientRule;pnfy_TeamsDestination;pnfy_NotificationToken;pnfy_CallingApplication;pnfy_SuppressionEntry,Read,Global,"Read configuration to diagnose failures."
Power Notify Support Analyst,pnfy_NotificationRequest,Read;Write,Local,"Business Unit depth. Combined with team-owned log rows this scopes an analyst to their own application."
Power Notify Support Analyst,pnfy_DeliveryAttempt;pnfy_PayloadSnapshot,Read,Local,"No Delete anywhere."
Power Notify Reader,pnfy_NotificationDefinition;pnfy_ChannelBinding;pnfy_NotificationTemplate;pnfy_RecipientRule;pnfy_TeamsDestination;pnfy_NotificationToken;pnfy_CallingApplication;pnfy_SuppressionEntry,Read,Global,"Read-only stakeholder visibility."
Power Notify Reader,pnfy_NotificationRequest,Read,Basic,"User depth - only requests they raised."
Power Notify Service,pnfy_NotificationDefinition;pnfy_ChannelBinding;pnfy_NotificationTemplate;pnfy_RecipientRule;pnfy_TeamsDestination;pnfy_NotificationToken;pnfy_CallingApplication,Read;AppendTo,Global,"The automation identity reads configuration; it never writes it."
Power Notify Service,pnfy_NotificationRequest;pnfy_DeliveryAttempt;pnfy_PayloadSnapshot,Create;Read;Write;Append;AppendTo;Assign,Global,"No Delete: a compromised or buggy flow must not be able to erase its own audit trail."
Power Notify Service,pnfy_SuppressionEntry,Create;Read;Write;Append;AppendTo,Global,"Organization-owned, so no Assign."
Power Notify Caller,pnfy_NotificationDefinition;pnfy_CallingApplication,Read;AppendTo,Global,"AppendTo is required for the request lookup to be set. Without it, create fails for non-admins."
Power Notify Caller,pnfy_NotificationRequest,Create;Append,Global,"Create-only surface for consuming applications."
Power Notify Caller,pnfy_NotificationRequest,Read,Basic,"Callers can read back only their own requests."
