Table,Column,Display,Type,Required,Length,OptionSet,Description
pnfy_NotificationDefinition,pnfy_displayname,Display Name,text,required,200,,"Human-friendly title shown in the admin app. The message key is the identifier; this is the label."
pnfy_NotificationDefinition,pnfy_description,Description,memo,none,2000,,"What this notification is for and when it fires."
pnfy_NotificationDefinition,pnfy_category,Category,text,none,100,,"Grouping label for admin navigation and reporting."
pnfy_NotificationDefinition,pnfy_priority,Priority,choice,required,,pnfy_priority,"Default priority applied when the caller does not supply one."
pnfy_NotificationDefinition,pnfy_failuremode,Failure Mode,choice,required,,pnfy_failuremode,"Default failure behaviour applied when the caller does not supply one."
pnfy_NotificationDefinition,pnfy_allowedcallertypes,Allowed Caller Types,multichoice,none,,pnfy_callingapplicationtype,"Restricts which kinds of consumer may invoke this definition. Empty means all."
pnfy_NotificationDefinition,pnfy_allowoverrides,Allow Overrides,bit,none,,,"When No, OverridesJson from the caller is rejected. Default No."
pnfy_NotificationDefinition,pnfy_retainpayload,Retain Payload,bit,none,,,"When Yes, rendered content is stored in a payload snapshot. Default No - store only a content hash."
pnfy_NotificationDefinition,pnfy_maxretrycount,Max Retry Count,int,none,,,"Overrides the environment default retry ceiling for this notification."
pnfy_NotificationDefinition,pnfy_suppressionwindowminutes,Suppression Window (Minutes),int,none,,,"Duplicate requests matching the same suppression hash within this window are suppressed. Zero disables suppression."
pnfy_NotificationDefinition,pnfy_validationstatus,Validation Status,choice,none,,pnfy_validationstatus,"Result of the last configuration validation run."
pnfy_NotificationDefinition,pnfy_validationmessage,Validation Message,memo,none,4000,,"Findings from the last validation run."
pnfy_NotificationDefinition,pnfy_validatedon,Validated On,datetime,none,,,"When configuration validation last ran."
pnfy_ChannelBinding,pnfy_channel,Channel,choice,required,,pnfy_channel,"Delivery channel this binding enables."
pnfy_ChannelBinding,pnfy_isenabled,Is Enabled,bit,none,,,"Disabled bindings are skipped and recorded as a skipped delivery attempt."
pnfy_ChannelBinding,pnfy_sequence,Sequence,int,none,,,"Dispatch order across channels. Lower runs first."
pnfy_ChannelBinding,pnfy_failurebehavior,Failure Behavior,choice,none,,pnfy_channelfailurebehavior,"What the dispatcher does with remaining channels if this one fails."
pnfy_NotificationTemplate,pnfy_version,Version,int,required,,,"Increments for each published revision. Combined with the template key it forms the alternate key."
pnfy_NotificationTemplate,pnfy_channel,Channel,choice,required,,pnfy_channel,"Channel this template renders for."
pnfy_NotificationTemplate,pnfy_contenttype,Content Type,choice,required,,pnfy_contenttype,"Selects the body column to render and the token encoding rule."
pnfy_NotificationTemplate,pnfy_subject,Subject,text,none,400,,"Email subject or Teams message title. Supports tokens."
pnfy_NotificationTemplate,pnfy_bodytext,Body (Plain Text),memo,none,8000,,"Plain text body. Supports tokens."
pnfy_NotificationTemplate,pnfy_bodyhtml,Body (HTML),memo,none,100000,,"HTML body. Token values are HTML-encoded unless the token allows raw HTML. Field-secured."
pnfy_NotificationTemplate,pnfy_cardjson,Adaptive Card JSON,memo,none,100000,,"Adaptive Card payload. Token values are JSON-escaped. Field-secured."
pnfy_NotificationTemplate,pnfy_deeplinkurl,Deep Link URL,url,none,500,,"Target for the primary action. Build from the AppBaseUrl environment variable, never a hardcoded org URL."
pnfy_NotificationTemplate,pnfy_actionlabel,Action Label,text,none,100,,"Caption for the primary action button or link."
pnfy_NotificationTemplate,pnfy_footertext,Footer Text,memo,none,1000,,"Compliance or do-not-reply text appended to the body."
pnfy_NotificationTemplate,pnfy_severity,Severity,choice,none,,pnfy_severity,"Visual tone applied when rendering."
pnfy_NotificationTemplate,pnfy_ispublished,Is Published,bit,none,,,"Published templates are immutable. Create a new version instead of editing."
pnfy_RecipientRule,pnfy_recipienttype,Recipient Type,choice,required,,pnfy_recipienttype,"How this rule resolves to a delivery address."
pnfy_RecipientRule,pnfy_recipientrole,Recipient Role,choice,required,,pnfy_recipientrole,"Part the resolved recipient plays in delivery."
pnfy_RecipientRule,pnfy_staticaddress,Static Address,email,none,320,,"Used only when the recipient type is Static Email Address."
pnfy_RecipientRule,pnfy_runtimeparameterpath,Runtime Parameter Path,text,none,200,,"Property name in RuntimeParametersJson holding the address. Used only when the recipient type is Runtime Parameter."
pnfy_RecipientRule,pnfy_sequence,Sequence,int,none,,,"Evaluation order. Lower runs first."
pnfy_RecipientRule,pnfy_isrequired,Is Required,bit,none,,,"When Yes and this rule resolves to nothing, the delivery fails rather than being skipped."
pnfy_TeamsDestination,pnfy_teamid,Team ID,text,required,200,,"Microsoft Entra group ID of the team. Configuration data - differs per environment."
pnfy_TeamsDestination,pnfy_channelid,Channel ID,text,required,200,,"Teams channel ID. Configuration data - differs per environment."
pnfy_TeamsDestination,pnfy_teamdisplayname,Team Display Name,text,none,200,,"Readable team name, for admin recognition only."
pnfy_TeamsDestination,pnfy_channeldisplayname,Channel Display Name,text,none,200,,"Readable channel name, for admin recognition only."
pnfy_TeamsDestination,pnfy_description,Description,memo,none,2000,,"What this destination is used for."
pnfy_TeamsDestination,pnfy_isactive,Is Active,bit,none,,,"Inactive destinations are skipped and recorded as a skipped delivery attempt."
pnfy_NotificationToken,pnfy_datatype,Data Type,choice,required,,pnfy_tokendatatype,"Expected type of the supplied value, validated before rendering."
pnfy_NotificationToken,pnfy_istokenrequired,Is Required,bit,none,,,"When Yes, a missing value fails the request before anything is sent."
pnfy_NotificationToken,pnfy_allowhtml,Allow Raw HTML,bit,none,,,"When Yes, the value is injected without HTML encoding. Administrator-only and field-secured - this is the injection control."
pnfy_NotificationToken,pnfy_defaultvalue,Default Value,text,none,500,,"Substituted when the caller supplies no value and the token is optional."
pnfy_NotificationToken,pnfy_samplevalue,Sample Value,text,none,500,,"Example used by configuration validation and template preview."
pnfy_NotificationToken,pnfy_description,Description,memo,none,1000,,"What this token represents and where the caller gets it."
pnfy_CallingApplication,pnfy_applicationtype,Application Type,choice,required,,pnfy_callingapplicationtype,"Kind of consumer."
pnfy_CallingApplication,pnfy_contactemail,Contact Email,email,none,320,,"Owning team contact for escalation."
pnfy_CallingApplication,pnfy_isactive,Is Active,bit,none,,,"Requests from inactive applications are rejected at enqueue."
pnfy_CallingApplication,pnfy_description,Description,memo,none,2000,,"What this application is and which notifications it sends."
pnfy_NotificationRequest,pnfy_messagekeysnapshot,Message Key,text,none,100,,"Message key as supplied by the caller, retained even if the definition is later retired."
pnfy_NotificationRequest,pnfy_status,Status,choice,required,,pnfy_requeststatus,"Rolled-up delivery state."
pnfy_NotificationRequest,pnfy_statusreason,Status Reason,text,none,400,,"Short explanation of the current status."
pnfy_NotificationRequest,pnfy_priority,Priority,choice,none,,pnfy_priority,"Effective priority for this request."
pnfy_NotificationRequest,pnfy_failuremode,Failure Mode,choice,none,,pnfy_failuremode,"Effective failure mode for this request."
pnfy_NotificationRequest,pnfy_correlationid,Correlation ID,text,none,100,,"Ties this request to the calling process and to every delivery attempt."
pnfy_NotificationRequest,pnfy_sourcecomponent,Source Component,text,none,200,,"Screen, command, or flow step that raised the request."
pnfy_NotificationRequest,pnfy_sourcerecordtable,Source Record Table,text,none,100,,"Logical name of the record the notification is about."
pnfy_NotificationRequest,pnfy_sourcerecordid,Source Record ID,text,none,50,,"Identifier of the record the notification is about."
pnfy_NotificationRequest,pnfy_sourcerecordurl,Source Record URL,url,none,1000,,"Deep link back to the source record for support."
pnfy_NotificationRequest,pnfy_runtimeparameters,Runtime Parameters,memo,none,100000,,"Token values supplied by the caller as JSON. Field-secured - may contain business data."
pnfy_NotificationRequest,pnfy_overrides,Overrides,memo,none,20000,,"Recipient or channel overrides supplied by the caller as JSON."
pnfy_NotificationRequest,pnfy_errormessage,Error Message,memo,none,4000,,"Failure detail for support triage."
pnfy_NotificationRequest,pnfy_attemptcount,Attempt Count,int,none,,,"Number of delivery attempts recorded against this request."
pnfy_NotificationRequest,pnfy_processingstartedon,Processing Started On,datetime,none,,,"When the dispatcher picked up this request."
pnfy_NotificationRequest,pnfy_completedon,Completed On,datetime,none,,,"When the request reached a terminal status."
pnfy_NotificationRequest,pnfy_flowrunurl,Flow Run URL,url,none,1000,,"Link to the dispatcher run, for escalation from support to a maker."
pnfy_NotificationRequest,pnfy_suppressionhash,Suppression Hash,text,none,128,,"Hash of message key, source record, recipient, and channel used for duplicate detection."
pnfy_NotificationRequest,pnfy_retainuntil,Retain Until,datetime,none,,,"Purge boundary derived from the log retention environment variable."
pnfy_DeliveryAttempt,pnfy_channel,Channel,choice,required,,pnfy_channel,"Channel this attempt used."
pnfy_DeliveryAttempt,pnfy_status,Status,choice,required,,pnfy_deliverystatus,"Outcome of this attempt."
pnfy_DeliveryAttempt,pnfy_attemptnumber,Attempt Number,int,none,,,"One-based attempt counter for this recipient and channel."
pnfy_DeliveryAttempt,pnfy_recipientaddress,Recipient Address,text,none,320,,"Resolved address, Teams channel, or user principal name."
pnfy_DeliveryAttempt,pnfy_recipienttype,Recipient Type,choice,none,,pnfy_recipienttype,"How the recipient was resolved."
pnfy_DeliveryAttempt,pnfy_recipientrole,Recipient Role,choice,none,,pnfy_recipientrole,"Part this recipient played."
pnfy_DeliveryAttempt,pnfy_errorcode,Error Code,text,none,100,,"Connector or platform error code, used to decide whether a retry is worthwhile."
pnfy_DeliveryAttempt,pnfy_errormessage,Error Message,memo,none,4000,,"Failure detail for support triage."
pnfy_DeliveryAttempt,pnfy_skipreason,Skip Reason,text,none,400,,"Why this recipient was skipped. Populated whenever the status is Skipped."
pnfy_DeliveryAttempt,pnfy_providermessageid,Provider Message ID,text,none,200,,"Identifier returned by the delivery connector."
pnfy_DeliveryAttempt,pnfy_messagelink,Message Link,url,none,1000,,"Link to the delivered Teams message where available."
pnfy_DeliveryAttempt,pnfy_senton,Sent On,datetime,none,,,"When the connector accepted the message."
pnfy_DeliveryAttempt,pnfy_durationms,Duration (ms),int,none,,,"Time taken by the send operation."
pnfy_DeliveryAttempt,pnfy_templateversion,Template Version,int,none,,,"Version of the template actually rendered, so later template changes cannot rewrite history."
pnfy_DeliveryAttempt,pnfy_nextretryon,Next Retry On,datetime,none,,,"Earliest time the retry flow may pick this attempt up. Drives exponential backoff."
