Name,ReferencingTable,LookupColumn,LookupDisplay,ReferencedTable,Required,CascadeDelete,CascadeAssign,Description
pnfy_definition_channelbinding,pnfy_ChannelBinding,pnfy_notificationdefinition,Notification Definition,pnfy_notificationdefinition,required,Cascade,NoCascade,"Definition this binding belongs to. Deleting the definition removes its bindings."
pnfy_template_channelbinding,pnfy_ChannelBinding,pnfy_notificationtemplate,Notification Template,pnfy_notificationtemplate,none,Restrict,NoCascade,"Template rendered for this channel. A template in use cannot be deleted."
pnfy_definition_recipientrule,pnfy_RecipientRule,pnfy_notificationdefinition,Notification Definition,pnfy_notificationdefinition,required,Cascade,NoCascade,"Definition this rule routes for. Deleting the definition removes its rules."
pnfy_channelbinding_recipientrule,pnfy_RecipientRule,pnfy_channelbinding,Channel Binding,pnfy_channelbinding,none,RemoveLink,NoCascade,"Optional. Scopes this rule to a single channel; empty means it applies to every channel."
pnfy_teamsdestination_recipientrule,pnfy_RecipientRule,pnfy_teamsdestination,Teams Destination,pnfy_teamsdestination,none,RemoveLink,NoCascade,"Target team and channel. Used only when the recipient type is Teams Destination."
pnfy_user_recipientrule,pnfy_RecipientRule,pnfy_recipientuser,Recipient User,systemuser,none,RemoveLink,NoCascade,"Target user. Used only when the recipient type is Dataverse User."
pnfy_team_recipientrule,pnfy_RecipientRule,pnfy_recipientteam,Recipient Team,team,none,RemoveLink,NoCascade,"Target team, expanded to its members. Used only when the recipient type is Dataverse Team."
pnfy_definition_token,pnfy_NotificationToken,pnfy_notificationdefinition,Notification Definition,pnfy_notificationdefinition,required,Cascade,NoCascade,"Definition that declares this token. Deleting the definition removes its tokens."
pnfy_ownerteam_definition,pnfy_NotificationDefinition,pnfy_ownerteam,Owner Team,team,none,RemoveLink,NoCascade,"Team accountable for the content and routing of this notification."
pnfy_supportteam_definition,pnfy_NotificationDefinition,pnfy_supportteam,Support Team,team,none,RemoveLink,NoCascade,"Team notified when delivery fails after all retries."
pnfy_ownerteam_callingapp,pnfy_CallingApplication,pnfy_ownerteam,Owner Team,team,none,RemoveLink,NoCascade,"Team that owns this consuming application."
pnfy_supportteam_callingapp,pnfy_CallingApplication,pnfy_supportteam,Support Team,team,none,RemoveLink,NoCascade,"Team that owns this application's notification log rows, giving support analysts business-unit scoped visibility."
pnfy_definition_request,pnfy_NotificationRequest,pnfy_notificationdefinition,Notification Definition,pnfy_notificationdefinition,none,Restrict,NoCascade,"Definition this request instantiated. Restricted so configuration cannot be deleted out from under its history."
pnfy_callingapp_request,pnfy_NotificationRequest,pnfy_callingapplication,Calling Application,pnfy_callingapplication,none,Restrict,NoCascade,"Application that raised the request."
pnfy_user_request,pnfy_NotificationRequest,pnfy_requestedby,Requested By,systemuser,none,RemoveLink,NoCascade,"User on whose behalf the notification was raised."
pnfy_request_deliveryattempt,pnfy_DeliveryAttempt,pnfy_notificationrequest,Notification Request,pnfy_notificationrequest,required,Cascade,Cascade,"Request this attempt belongs to. Ownership cascades so support scoping stays consistent."
pnfy_channelbinding_deliveryattempt,pnfy_DeliveryAttempt,pnfy_channelbinding,Channel Binding,pnfy_channelbinding,none,RemoveLink,NoCascade,"Binding that produced this attempt."
pnfy_template_deliveryattempt,pnfy_DeliveryAttempt,pnfy_notificationtemplate,Notification Template,pnfy_notificationtemplate,none,RemoveLink,NoCascade,"Template actually rendered, recorded alongside its version number."
pnfy_request_payloadsnapshot,pnfy_PayloadSnapshot,pnfy_notificationrequest,Notification Request,pnfy_notificationrequest,required,Cascade,Cascade,"Request this snapshot belongs to. Purging the request purges the payload."
pnfy_request_suppressionentry,pnfy_SuppressionEntry,pnfy_notificationrequest,Notification Request,pnfy_notificationrequest,none,RemoveLink,NoCascade,"Request that first created this suppression window."
